127.0.0.1 - - [25/Feb/2023:16:37:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:00 +0900] "GET /CDC/index.jsp HTTP/1.1" 200 7103
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:00 +0900] "GET /CDC/resources/img/logo3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:00 +0900] "GET /CDC/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:00 +0900] "GET /CDC/img/logo.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:00 +0900] "GET /CDC/resources/img/index/holong1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:00 +0900] "GET /CDC/resources/img/index/holong2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:00 +0900] "GET /CDC/resources/img/index/holong3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:27 +0900] "GET /CDC/index.jsp HTTP/1.1" 200 7103
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:27 +0900] "GET /CDC/img/logo.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:36 +0900] "GET /CDC/login.do HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:36 +0900] "GET /CDC/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:36 +0900] "GET /CDC/resources/img/login/naver_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:36 +0900] "GET /CDC/resources/img/login/google_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:36 +0900] "GET /CDC/resources/img/login/facebook_logo.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:41 +0900] "POST /CDC/loginaction.do HTTP/1.1" 200 7558
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:41 +0900] "GET /CDC/img/logo.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:45 +0900] "GET /CDC/commuboard.action?pageNum=1 HTTP/1.1" 200 14610
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:45 +0900] "GET /CDC/resources/img/seabut.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:45 +0900] "GET /CDC/resources/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:45 +0900] "GET /CDC/img/logo.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:45 +0900] "GET /CDC/resources/img/catface.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:45 +0900] "GET /CDC/resources/img/dogface.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:45 +0900] "GET /CDC/resources/css/img/search.png HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:45 +0900] "GET /CDC/resources/img/ggimu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2023:16:38:45 +0900] "GET /CDC/resources/img/board/dogface.png HTTP/1.1" 200 23360
